title,full_time,part_time,requirements
Assistant Manager,True,False,"['Superior customer service skills, preferably in the fitness industry.', 'Experience working as a Member Service Representative at Planet Fitness.', 'Solid supervisory, diplomacy and listening skills.', 'Basic computer proficiency (Microsoft Suite).', 'Hard working, enthusiastic and energetic!', 'Strong problem resolution skills.', 'Current CPR Certification required.', 'High school diploma/GED equivalent required.', 'Must be 18 year of age\xa0or older']"
Member Services Representative,False,True,"['Customer service background preferred.', 'Basic computer proficiency.', 'A passion for fitness and health.', 'Upbeat and positive attitude!', 'Punctuality and reliability is a must.', 'Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations.', 'Strong listener with the ability to empathize and problem solve.', 'Demonstrate diplomacy in all interactions while using appropriate behavior and language.', 'High School diploma/GED equivalent required.', 'Must be 18 years of age or older.']"
Club Manager,True,False,"['Superior customer service skills, preferably in the fitness industry.', 'Experience working as an Assistant Manager at Planet Fitness.', 'Exceptional leadership, diplomacy and listening skills.', 'Basic computer proficiency (Microsoft Suite).', 'Hard working, enthusiastic and energetic!', 'Strong problem resolution skills.', 'Current CPR Certification required.', 'High school diploma/GED equivalent required.', 'Must be 18 years of age or older.']"
Fitness Trainer,False,True,"['A passion for fitness and health!', 'Upbeat and positive attitude.', 'Punctuality and reliability is a must.', 'Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations.', 'Strong listener with the ability to empathize and problem solve.', 'Demonstrate diplomacy in all interactions while using appropriate behavior and language.', 'Current CPR Certification required.', 'Nationally Certified Training Certificate required.', 'High School diploma/GED equivalent required.', 'Must be 18 years of age or older.']"
Maintenance Technician - Full Time,True,False,"['5 years of maintenance experience required', 'Knowledge of Microsoft Office is a plus', ""Must have a clean record and valid Driver's License"", 'Must be willing to take drug screening']"
Assistant Manager,True,False,"['Superior customer service skills, preferably in the fitness industry.', 'Experience working as a Member Service Representative at Planet Fitness.', 'Solid supervisory, diplomacy and listening skills.', 'Basic computer proficiency (Microsoft Suite).', 'Hard working, enthusiastic and energetic!', 'Strong problem resolution skills.', 'Current CPR Certification required.', 'High school diploma/GED equivalent required.', 'Must be 18 year of age\xa0or older']"
Painter /  Spackler,False,True,"['Previous experience as a Painter required.', 'Hard working, enthusiastic and energetic!', 'Strong problem resolution skills.', 'Must be 18 years of age or older.', 'Must have reliable transportation', 'Must have a flexible schedule.']"
Fitness Trainer,False,True,"['A passion for fitness and health!', 'Upbeat and positive attitude.', 'Punctuality and reliability is a must.', 'Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations.', 'Strong listener with the ability to empathize and problem solve.', 'Demonstrate diplomacy in all interactions while using appropriate behavior and language.', 'Current CPR Certification required.', 'Nationally Certified Training Certificate required.', 'High School diploma/GED equivalent required.', 'Must be 18 years of age or older.']"
Member Services Representative,False,True,"['Customer service background preferred.', 'Basic computer proficiency.', 'A passion for fitness and health.', 'Upbeat and positive attitude!', 'Punctuality and reliability is a must.', 'Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations.', 'Strong listener with the ability to empathize and problem solve.', 'Demonstrate diplomacy in all interactions while using appropriate behavior and language.', 'High School diploma/GED equivalent required.', 'Must be 18 years of age or older.']"
Maintenance Technician - Full Time,True,False,"['5 years of maintenance experience required', 'Knowledge of Microsoft Office is a plus', ""Must have a clean record and valid Driver's License"", 'Must be willing to take drug screening']"
